Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,property_price_(per_month)
House,Pretoria,"Montana Tuine",2,1,4,13500
House,Pretoria,"Newmark Estate",4,4,2,35000
House,Pretoria,Montana,5,3,2,23000
House,Pretoria,"Montana Tuine",2,2,1,16700
Town-house,Pretoria,Lynnwood,3,2,1,26000
Apartment,Pretoria,"Magaliesmoot AH",2,2,1,10250
Apartment,Pretoria,"Magaliesmoot AH",2,1,1,9750
Apartment,Pretoria,Waverley,2,1,2,9500
Town-house,Pretoria,Equestria,2,1,1,11500
House,Pretoria,"Montana Tuine",1,1,2,8040
Apartment,Pretoria,"Mooikloof Glen",2,2,2,8800
Apartment,Pretoria,"Montana Park",2,2,1,8600
Apartment,Pretoria,Lynnwood,2,1,1,22000
Apartment,Pretoria,Hatfield,2,1,2,9200
House,Pretoria,"Menlo Park",1,2,1,27000
House,Pretoria,"Constantia Park",1,1,2,5000
Apartment,Pretoria,Waverley,2,2,1,10250
Apartment,Pretoria,Pretoriuspark,2,2,1,10000
Apartment,Pretoria,Hatfield,2,1,2,9400
Apartment,Pretoria,Hatfield,2,1,2,11500
Apartment,Pretoria,Waverley,2,2,2,11000
Town-house,Pretoria,"Pretoria North",2,2,4,10250
Apartment,Pretoria,Equestria,2,1,1,8600
House,Pretoria,Queenswood,6,3,14,3500
Apartment,Pretoria,Waverley,2,2,3,10250
Apartment,Pretoria,Montana,2,2,1,10200
Town-house,Pretoria,"Boardwalk Meander",3,2,2,20000
Apartment,Pretoria,Menlyn,1,1,7,30000
Apartment,Pretoria,Waverley,2,1,2,9750
Town-house,Pretoria,"Moreleta Park",3,2,58,15000
House,Pretoria,Arcadia,8,3,4,41040
Town-house,Pretoria,Derdepoort,3,2,4,17000
Apartment,Pretoria,Waterkloof,58,58,1,15990
Town-house,Pretoria,Magalieskruin,3,2,1,12500
House,Pretoria,Doornpoort,4,3,2,20000
Apartment,Pretoria,"Erasmus Park",2,1,2,10900
Apartment,Pretoria,Montana,2,2,58,10500
Apartment,Pretoria,Annlin,3,2,1,11206
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,1,12000
Apartment,Pretoria,Waterkloof,58,58,2,15990
Apartment,Pretoria,Waterkloof,2,2,2,10000
House,Pretoria,Villieria,3,2,3,14000
Apartment,Pretoria,Menlyn,2,2,2,55700
Apartment,Pretoria,Hatfield,1,2,1,3900
Town-house,Pretoria,"Faerie Glen",2,2,1,13500
Town-house,Pretoria,"Faerie Glen",3,1,3,14275
Apartment,Pretoria,Rietfontein,2,1,1,6400
Apartment,Pretoria,"Olympus AH",2,1,2,7800
Apartment,Pretoria,Montana,2,1,1,8400
Apartment,Pretoria,Rietfontein,2,1,2,6400
Apartment,Pretoria,"Pretoria North",2,2,1,5500
Town-house,Pretoria,Montana,3,1,6,18000
Apartment,Pretoria,"West Park",2,2,2,7350
House,Pretoria,"Capital Park",4,2,12,19440
Apartment,Pretoria,"Blyde Riverwalk Estate",2,5,2,10500
House,Pretoria,"Waterkloof Ridge",6,2,2,90000
Apartment,Pretoria,Hatfield,2,1,2,10500
Apartment,Pretoria,"Wonderboom South",1,2,4,13000
Apartment,Pretoria,"The Hills Game Reserve Estate",2,2,2,10500
Town-house,Pretoria,"Moreleta Park",3,2,2,11500
House,Pretoria,Elarduspark,5,3,3,19900
Apartment,Pretoria,Waverley,2,2,3,10250
House,Pretoria,"Constantia Park",3,1,4,12500
Apartment,Pretoria,"Menlo Park",2,3,2,14000
Town-house,Pretoria,Hatfield,4,2,1,17500
Town-house,Pretoria,"Six Fountains Residential Estate",3,2,2,22000
Apartment,Pretoria,Hazeldean,2,1,1,9250
Apartment,Pretoria,Boardwalk,2,1,1,8100
Apartment,Pretoria,Hazeldean,2,2,4,9500
House,Pretoria,Equestria,1,1,1,10200
Apartment,Pretoria,Roodeplaat,2,2,2,10480
House,Pretoria,"Lombardy Estate",3,2,2,36000
Apartment,Pretoria,"La Montagne",2,1,1,8300
Apartment,Pretoria,Arcadia,2,1,1,7350
Apartment,Pretoria,Menlyn,1,1,3,21000
Apartment,Pretoria,"Erasmus Park",2,1,4,9000
Apartment,Pretoria,"Lynnwood Glen",1,1,1,9000
Apartment,Pretoria,Hatfield,1,1,1,8100
Apartment,Pretoria,Roodeplaat,2,1,1,9800
Apartment,Pretoria,"La Montagne",2,2,2,9500
Town-house,Pretoria,"Mooikloof Ridge",2,1,2,7300
Apartment,Pretoria,Roodeplaat,2,1,1,10000
Apartment,Pretoria,Sinoville,2,2,1,10600
Apartment,Pretoria,Silverton,1,1,2,3700
Town-house,Pretoria,"Pretoria North",1,2,1,5100
Apartment,Pretoria,"Philip Nel Park",1,1,2,6050
Apartment,Pretoria,Hazeldean,2,2,2,9800
Apartment,Pretoria,"Erasmus Park",1,1,5,8600
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,2,16300
Apartment,Pretoria,Roodeplaat,2,1,1,9250
House,Pretoria,"Lynnwood Ridge",3,2,1,22000
House,Pretoria,Rietvalleirand,3,3,4,23500
Apartment,Pretoria,Wonderboom,2,1,1,4150
Apartment,Pretoria,Hazeldean,2,2,1,9800
House,Pretoria,Wonderboom,3,2,2,15750
Apartment,Pretoria,Hazeldean,3,2,1,9500
Apartment,Pretoria,"Philip Nel Park",2,1,1,6230
Apartment,Pretoria,Hatfield,1,1,1,6680
Apartment,Pretoria,"Philip Nel Park",2,1,1,6340
Town-house,Pretoria,Hazeldean,3,2,4,18000
Town-house,Pretoria,Rietvalleirand,2,2,2,14500
Apartment,Pretoria,Hatfield,1,1,1,6680
Town-house,Pretoria,"Capital Park",3,2,4,10000
Apartment,Pretoria,Hazeldean,2,2,1,9800
Apartment,Pretoria,"Menlo Park",2,3,2,14000
Apartment,Pretoria,Waverley,2,2,2,10250
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,1,13000
Apartment,Pretoria,Arcadia,1,1,1,5831
Apartment,Pretoria,Florauna,1,1,1,3180
Apartment,Pretoria,Doornpoort,2,1,1,5520
Apartment,Pretoria,Hazeldean,2,2,58,9500
Apartment,Pretoria,"Philip Nel Park",2,1,1,5950
Town-house,Pretoria,Equestria,3,1,4,9000
Town-house,Pretoria,"Die Wilgers",2,2,3,14000
House,Pretoria,"Newmark Estate",3,3,4,28000
Apartment,Pretoria,Hazeldean,3,2,1,9800
Town-house,Pretoria,Elarduspark,3,2,2,10950
Apartment,Pretoria,Hillcrest,2,1,1,8000
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,2,12000
Apartment,Pretoria,Waterkloof,58,58,58,17990
House,Pretoria,Boardwalk,3,2,4,27000
Apartment,Pretoria,"Roodepark Eco Estate",2,2,1,10500
Apartment,Pretoria,"Waterkloof Park",1,1,1,12000
Apartment,Pretoria,Menlyn,1,1,1,14000
Apartment,Pretoria,"Greencreek Lifestyle Estate",2,1,1,6000
Apartment,Pretoria,Arcadia,3,3,1,21000
House,Pretoria,"Six Fountains Residential Estate",2,3,1,36000
Apartment,Pretoria,"Philip Nel Park",2,1,1,5950
Apartment,Pretoria,"Faerie Glen",3,2,1,9950
Town-house,Pretoria,Equestria,1,2,3,17000
Apartment,Pretoria,Hatfield,2,1,1,11500
Apartment,Pretoria,"Menlo Park",2,2,2,13550
Apartment,Pretoria,"Erasmus Park",2,1,2,12000
Apartment,Pretoria,"Olympus AH",2,2,2,10750
Apartment,Pretoria,"Weavind Park",1,1,1,5500
Apartment,Pretoria,Montana,1,1,1,5000
Apartment,Pretoria,Equestria,2,1,5,8500
House,Pretoria,"Waterkloof Ridge",4,3,1,36999
Apartment,Pretoria,"La Montagne",2,1,1,7900
Apartment,Pretoria,Arcadia,2,1,1,6200
Apartment,Pretoria,Groenkloof,2,1,2,7500
Town-house,Pretoria,Erasmuskloof,2,2,1,16000
Apartment,Pretoria,Hillcrest,2,1,1,11800
Apartment,Pretoria,Annlin-Wes,1,1,2,6150
House,Pretoria,Waterkloof,3,2,2,20000
Apartment,Pretoria,Annlin,2,2,1,9500
Apartment,Pretoria,"Blyde Riverwalk Estate",1,1,6,8900
House,Pretoria,Waterkloof,4,3,2,40000
Apartment,Pretoria,"Weavind Park",1,1,2,5500
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,4,15500
House,Pretoria,"Boardwalk Meander",3,4,2,28000
Apartment,Pretoria,Annlin,2,2,2,11206
House,Pretoria,"Lotus Gardens",2,1,1,6000
Apartment,Pretoria,Sinoville,2,2,2,10600
House,Pretoria,"Zambezi Manor Lifestyle Estate",3,2,2,15750
Apartment,Pretoria,Hatfield,2,1,2,8995
Town-house,Pretoria,Annlin,3,2,2,11500
House,Pretoria,Newlands,2,2,2,12250
Apartment,Pretoria,"Willow Park Manor",2,2,1,10980
Apartment,Pretoria,"Erasmus Park",2,1,1,9500
Apartment,Pretoria,"Mooikloof Manor",1,1,2,8500
Apartment,Pretoria,Annlin,2,2,12,11206
House,Pretoria,Waterkloof,5,2,4,85000
House,Pretoria,Montana,3,2,2,13800
Town-house,Pretoria,"Olympus AH",3,3,1,19000
Apartment,Pretoria,Arcadia,3,1,1,7500
Apartment,Pretoria,"Blyde Riverwalk Estate",1,1,2,13000
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,2,13000
Apartment,Pretoria,"Menlo Park",2,3,2,14000
Town-house,Pretoria,"Lynnwood Manor",3,2,2,16000
Apartment,Pretoria,"Six Fountains Residential Estate",2,2,4,15000
Apartment,Pretoria,Hazeldean,2,2,2,10550
Apartment,Pretoria,Sunnyside,2,2,1,6500
Apartment,Pretoria,Riviera,1,1,1,4000
Apartment,Pretoria,"Wonderboom South",1,1,1,5500
Town-house,Pretoria,"Faerie Glen",3,2,4,15500
Apartment,Pretoria,Waverley,2,1,4,10250
Town-house,Pretoria,"The Wilds",2,2,2,16000
Apartment,Pretoria,Montana,2,2,2,8900
House,Pretoria,"Ashlea Gardens",1,1,1,16500
Town-house,Pretoria,"Olympus AH",3,3,1,25000
Apartment,Pretoria,Montana,1,1,2,7000
Apartment,Pretoria,"Pretoria North",2,2,2,6800
Town-house,Pretoria,"Olympus AH",2,2,2,16000
Town-house,Pretoria,"Olympus AH",2,2,4,16000
Town-house,Pretoria,"Olympus AH",2,2,4,16000
House,Pretoria,"Six Fountains Residential Estate",3,3,1,38000
Apartment,Pretoria,Waverley,2,1,4,10950
Town-house,Pretoria,Montana,2,2,4,10500
House,Pretoria,"Faerie Glen",2,2,2,17000
House,Pretoria,Erasmusrand,4,2,2,23000
Apartment,Pretoria,Mooikloof,2,2,2,9000
House,Pretoria,Roodeplaat,3,2,1,17900
Apartment,Pretoria,Montana,1,1,3,5400
Town-house,Pretoria,"Monument Park",3,3,1,15500
Apartment,Pretoria,Arcadia,2,1,1,7103
Apartment,Pretoria,"Montana Park",3,1,2,8840
Town-house,Pretoria,"Six Fountains Residential Estate",2,2,2,19100
Apartment,Pretoria,Equestria,2,2,2,9750
Town-house,Pretoria,"Olympus AH",1,2,3,18000
Apartment,Pretoria,"Pretoria West",2,1,2,3800
Apartment,Pretoria,Waverley,2,1,1,10950
Apartment,Pretoria,Montana,3,2,1,10000
Town-house,Pretoria,"Constantia Park",3,3,1,30000
Apartment,Pretoria,Erasmuskloof,2,2,1,8000
Apartment,Pretoria,Annlin,2,2,2,11206
Apartment,Pretoria,Sinoville,3,2,1,7250
Town-house,Pretoria,Wonderboom,3,2,2,10400
Town-house,Pretoria,"Willow Park Manor",2,2,3,9000
Apartment,Pretoria,"Blyde Riverwalk Estate",2,1,2,14000
Apartment,Pretoria,"Philip Nel Park",2,1,1,7600
Apartment,Pretoria,Menlyn,1,3,1,30000
House,Pretoria,"Silver Lakes Golf Estate",3,2,2,38000
House,Pretoria,"Rose Acres Estate",4,2,1,23000
Town-house,Pretoria,"Country View Estate",2,2,2,10400
Town-house,Pretoria,"Moreleta Park",3,2,4,13500
Town-house,Pretoria,Mooikloof,3,2,2,16500
Town-house,Pretoria,"Willow Park Manor",3,1,2,13950
Apartment,Pretoria,Brooklyn,1,1,1,9990
Apartment,Pretoria,"Philip Nel Park",2,1,1,7600
Apartment,Pretoria,Hatfield,3,3,2,4499
Apartment,Pretoria,Lynnwood,3,1,2,21900
Apartment,Pretoria,Montana,2,2,2,8900
Town-house,Pretoria,"Olympus AH",2,2,2,16000
Town-house,Pretoria,"Olympus AH",2,2,2,16000
Town-house,Pretoria,"Olympus AH",2,2,2,16000
Town-house,Pretoria,"Olympus AH",2,2,2,14000
House,Pretoria,Garsfontein,4,5,6,25000
Apartment,Pretoria,"Menlo Park",1,1,1,12000
Town-house,Pretoria,Equestria,2,2,5,17000
Apartment,Pretoria,"Waterkloof Marina Retirement Estate",2,1,1,14500
Apartment,Pretoria,Equestria,1,1,1,10200
Apartment,Pretoria,Equestria,1,1,1,8900
Apartment,Pretoria,Waterkloof,1,1,1,6000
Apartment,Pretoria,Brooklyn,2,2,1,9500
Apartment,Pretoria,"Wonderboom South",2,2,8,6500
House,Pretoria,Wonderboom,4,3,1,25000
Apartment,Pretoria,Wapadrand,1,1,1,6500
Apartment,Pretoria,"Philip Nel Park",1,1,1,5100
Apartment,Pretoria,Villieria,1,1,1,7000
Apartment,Pretoria,"Wonderboom South",2,2,6,6500
House,Pretoria,"Wonderboom South",4,2,1,22000
Apartment,Pretoria,Sinoville,2,2,1,7600
Town-house,Pretoria,"Silver Lakes",2,1,2,9250
Town-house,Pretoria,"Silver Lakes",2,2,2,10000
Apartment,Pretoria,Menlyn,3,2,1,14500
Apartment,Pretoria,"Six Fountains",2,2,2,13500
Town-house,Pretoria,Rietfontein,3,1,2,10500
Town-house,Pretoria,Murrayfield,3,2,1,11880
House,Pretoria,"Waterkloof Ridge",4,4,3,40000
Apartment,Pretoria,Brooklyn,2,2,2,16500
Apartment,Pretoria,"Olympus AH",2,1,1,7800
Apartment,Pretoria,"Olympus AH",2,2,2,10500
Town-house,Pretoria,"Olympus AH",3,3,4,17500
Town-house,Pretoria,"Moreleta Park",2,1,1,7500
Town-house,Pretoria,Equestria,3,2,4,14950
Apartment,Pretoria,"Tijger Vallei",2,2,1,11000
House,Pretoria,"Lynnwood Glen",4,1,3,24000
Town-house,Pretoria,"Olympus AH",3,2,2,9900
Apartment,Pretoria,Hatfield,2,1,1,6990
Apartment,Pretoria,Montana,2,1,1,7500
Apartment,Pretoria,"Nieuw Muckleneuk",2,2,2,9650
Apartment,Pretoria,"Six Fountains",2,2,2,13500
House,Pretoria,Garsfontein,4,4,2,19500
Apartment,Pretoria,"Waterkloof Glen",2,2,2,8500
House,Pretoria,Dorandia,4,2,4,15000
House,Pretoria,Wonderboom,3,3,2,17500
Town-house,Pretoria,"Olympus AH",3,3,2,22000
Apartment,Pretoria,"Willow Park Manor",1,1,1,15000
Apartment,Pretoria,Menlyn,1,1,1,30000
House,Pretoria,"Waterkloof Ridge",2,2,2,48000
Apartment,Pretoria,"Waterkloof Marina Retirement Estate",1,1,1,9600
Town-house,Pretoria,"The Wilds",3,2,4,18500
Town-house,Pretoria,Meyerspark,3,2,4,12200
Apartment,Pretoria,"Moreleta Park",2,1,3,11000
Apartment,Pretoria,Eloffsdal,2,1,1,5200
Apartment,Pretoria,Menlyn,1,1,1,30000
Town-house,Pretoria,"Ashlea Gardens",3,3,1,23000
Apartment,Pretoria,"Greencreek Lifestyle Estate",1,1,1,8000
Apartment,Pretoria,Mooikloof,2,2,2,11500
Apartment,Pretoria,Waterkloof,58,58,58,8990
Apartment,Pretoria,Annlin,2,1,1,6700
Apartment,Pretoria,Mooikloof,2,2,2,10000
House,Pretoria,"Waterkloof Ridge",3,4,3,38000
Town-house,Pretoria,Equestria,3,3,2,16500
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,2,11235
Apartment,Pretoria,"Castle Gate",2,1,1,11500
Town-house,Pretoria,"Moreleta Park",2,1,3,11500
House,Pretoria,"Waterkloof Ridge",3,4,3,38000
Town-house,Pretoria,"The Wilds",3,2,4,18500
Apartment,Pretoria,Hazeldean,2,2,1,9800
Apartment,Pretoria,"Olympus AH",2,2,2,12320
Apartment,Pretoria,"Blyde Riverwalk Estate",1,1,1,9500
House,Pretoria,"Olympus AH",3,3,2,24600
Town-house,Pretoria,Waterkloof,3,2,2,26000
Apartment,Pretoria,Mooikloof,1,1,2,8000
Apartment,Pretoria,Mooikloof,2,2,2,11500
Town-house,Pretoria,"La Montagne",2,2,2,9800
House,Pretoria,Andeon,3,2,1,14000
Apartment,Pretoria,"Die Wilgers",1,1,2,7200
Apartment,Pretoria,Menlyn,2,2,2,45000
Town-house,Pretoria,Equestria,3,2,2,13860
House,Pretoria,"Moreleta Park",4,4,4,24500
House,Pretoria,"The Wilds",3,2,4,18500
Apartment,Pretoria,"Waterkloof Marina Retirement Estate",1,1,1,9600
Apartment,Pretoria,"Moreleta Park",1,1,1,8500
Apartment,Pretoria,Garsfontein,1,1,1,7000
Apartment,Pretoria,Montana,2,1,1,9600
Town-house,Pretoria,Montana,2,1,2,6850
Apartment,Pretoria,"Willow Park Manor",3,2,3,10500
House,Pretoria,"Silver Lakes Golf Estate",4,3,1,39000
Apartment,Pretoria,"Olympus AH",2,2,2,13900
Town-house,Pretoria,"Mooiplaats AH",1,1,2,7500
House,Pretoria,Rietfontein,3,2,1,12500
Apartment,Pretoria,"Pretoria North",2,1,2,7150
Town-house,Pretoria,"Menlo Park",2,3,1,16000
Apartment,Pretoria,"Blyde Riverwalk Estate",1,1,1,7950
Apartment,Pretoria,Waverley,2,2,4,10250
Apartment,Pretoria,"Moreleta Park",1,1,4,8500
House,Pretoria,Montana,3,2,1,15500
House,Pretoria,"Six Fountains Residential Estate",3,3,4,40000
Town-house,Pretoria,"Lynnwood Glen",3,2,2,18500
Apartment,Pretoria,"Nieuw Muckleneuk",2,2,2,21500
Apartment,Pretoria,"Olympus AH",2,1,1,8000
Town-house,Pretoria,Equestria,3,2,2,17000
House,Pretoria,Tileba,3,1,2,14500
Apartment,Pretoria,Rietvalleirand,2,2,2,9000
House,Pretoria,"Silver Lakes Golf Estate",4,4,3,65000
Town-house,Pretoria,Erasmuskloof,2,1,2,9500
House,Pretoria,Tileba,3,1,2,14500
Apartment,Pretoria,Queenswood,2,2,1,10500
Apartment,Pretoria,Sunnyside,5,1,2,1499
Apartment,Pretoria,"La Montagne",2,1,2,8500
Apartment,Pretoria,"Silver Lakes Golf Estate",1,1,1,16000
Apartment,Pretoria,"Greencreek Lifestyle Estate",1,1,1,7900
Apartment,Pretoria,Hazeldean,3,2,2,9500
Apartment,Pretoria,"Montana Tuine",1,1,1,9632
Town-house,Pretoria,Equestria,3,2,2,14450
Apartment,Pretoria,"Moreleta Park",1,1,1,7200
House,Pretoria,Andeon,2,1,2,8000
Town-house,Pretoria,Montana,3,2,4,11000
Apartment,Pretoria,Waterkloof,1,1,1,8500
Apartment,Pretoria,"Silver Lakes",2,2,1,10000
Apartment,Pretoria,Hazeldean,2,2,1,9500
Apartment,Pretoria,"Menlo Park",2,2,3,19500
Apartment,Pretoria,Sunnyside,1,1,1,3200
Apartment,Pretoria,Hazeldean,2,2,1,9500
Apartment,Pretoria,Montana,1,1,1,5000
House,Pretoria,"Mooikloof Gardens Estate",3,3,2,26000
Apartment,Pretoria,Shere,3,2,1,9500
House,Pretoria,"Willow Acres",4,5,2,25000
House,Pretoria,"Silver Lakes Golf Estate",6,4,2,75000
Town-house,Pretoria,"Faerie Glen",2,1,1,11000
House,Pretoria,"Olympus AH",3,3,3,19000
Apartment,Pretoria,Brooklyn,2,2,2,13500
Apartment,Pretoria,"Blyde Riverwalk Estate",1,1,1,9500
House,Pretoria,"Savannah Country Estate",6,5,4,39000
Apartment,Pretoria,Rietvalleirand,2,2,2,14000
Apartment,Pretoria,"Olympus AH",2,2,2,16000
Apartment,Pretoria,Menlyn,1,1,1,30000
Apartment,Pretoria,"Blyde Riverwalk Estate",1,1,1,9500
Town-house,Pretoria,Equestria,2,1,2,16000
Apartment,Pretoria,"Waterkloof Ridge",2,2,2,10200
Town-house,Pretoria,"Moreleta Park",3,2,2,10000
Apartment,Pretoria,Brooklyn,1,1,1,4500
House,Pretoria,"Waterkloof Glen",3,4,2,22000
Apartment,Pretoria,Lynnwood,3,1,1,11000
Town-house,Pretoria,"Lynnwood Ridge",2,2,2,16000
Apartment,Pretoria,"Moreleta Park",1,1,1,7800
Apartment,Pretoria,Hatfield,6,1,1,6900
House,Pretoria,Hatfield,3,3,2,4500
House,Pretoria,Annlin,3,2,3,11000
Town-house,Pretoria,Equestria,2,2,2,16000
Town-house,Pretoria,Brooklyn,2,2,1,19500
Apartment,Pretoria,Hazeldean,1,2,1,9800
Apartment,Pretoria,Brooklyn,2,1,1,4500
Apartment,Pretoria,Hazeldean,2,2,2,9800
Town-house,Pretoria,Equestria,3,2,2,13000
House,Pretoria,Sterrewag,3,4,2,23000
Town-house,Pretoria,"Boardwalk Villas",3,3,2,22000
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,2,18500
Apartment,Pretoria,"Lynnwood Manor",3,1,2,8950
House,Pretoria,"Moreleta Park",3,2,1,19500
Apartment,Pretoria,"Pretoria Central",2,1,2,3800
Apartment,Pretoria,"Olympus AH",2,1,2,10175
Apartment,Pretoria,Montana,2,1,2,9250
Apartment,Pretoria,"Olympus AH",2,1,3,8800
Apartment,Pretoria,Meyerspark,4,1,2,6300
House,Pretoria,"Silver Lakes Golf Estate",2,4,1,48000
Apartment,Pretoria,"Waterkloof Park",2,2,2,17000
Apartment,Pretoria,"La Montagne",2,1,2,9000
Town-house,Pretoria,"The Wilds",2,2,2,14000
Town-house,Pretoria,"Olympus AH",2,2,1,14000
Town-house,Pretoria,"Olympus AH",2,2,2,14000
Apartment,Pretoria,Pretoriuspark,3,1,2,8400
House,Pretoria,"Philip Nel Park",4,1,2,14500
House,Pretoria,"Waterkloof Golf Estate",2,5,2,40000
Town-house,Pretoria,"Olympus AH",3,2,1,14000
Apartment,Pretoria,Mooikloof,2,2,2,17500
House,Pretoria,Brooklyn,1,1,1,19000
Apartment,Pretoria,Mooikloof,2,2,2,8900
House,Pretoria,Derdepoort,2,2,2,11000
House,Pretoria,"Lotus Gardens",3,2,2,11500
Apartment,Pretoria,Florauna,1,1,1,4800
House,Pretoria,Booysens,3,3,2,8250
House,Pretoria,"Mooiplaats AH",2,1,1,7000
Apartment,Pretoria,"Silver Lakes Golf Estate",2,1,2,19500
Apartment,Pretoria,"Les Marais",1,1,3,4750
Apartment,Pretoria,Hatfield,2,2,1,9200
Town-house,Pretoria,"Capital Park",4,3,4,18000
Apartment,Pretoria,"Blyde Riverwalk Estate",2,2,2,11000
Town-house,Pretoria,Annlin,3,2,2,12000
Apartment,Pretoria,"Menlo Park",2,2,1,20000
Apartment,Pretoria,Mooikloof,2,2,3,8900
Apartment,Pretoria,Waverley,2,1,1,8400
House,Pretoria,Rietvalleirand,3,2,2,13000
Apartment,Pretoria,Gezina,2,1,1,5500
Apartment,Pretoria,"Greencreek Lifestyle Estate",2,2,2,9500
Apartment,Pretoria,Hazeldean,3,2,4,9800
Apartment,Pretoria,"Monument Park",2,2,3,13500
Apartment,Pretoria,Hatfield,2,1,1,4000
House,Pretoria,"Waterkloof Heights",5,7,5,50000
